id|url|title|summary|date_published|reader|writer|reader_wikidata|writer_wikidata
roddy-doyle-reads-lorrie-moore|https://www.newyorker.com/podcast/fiction/roddy-doyle-reads-lorrie-moore|Roddy Doyle Reads Lorrie Moore|Roddy Doyle joins Deborah Treisman to read and discuss “Community Life,” by Lorrie Moore, from a 1991 issue of the magazine.|2018-10-01|Roddy Doyle|Lorrie Moore|Q73506|Q204168
tessa-hadley-reads-john-updike|https://www.newyorker.com/podcast/fiction/tessa-hadley-reads-john-updike|Tessa Hadley Reads John Updike|Tessa Hadley joins Deborah Treisman to read and discuss “New York Girl,” by John Updike, from a 1996 issue of the magazine.|2018-09-03|Tessa Hadley|John Updike|Q23014955|Q105756
kate-walbert-reads-stuart-dybek|https://www.newyorker.com/podcast/fiction/kate-walbert-reads-stuart-dybek|Kate Walbert Reads Stuart Dybek|Kate Walbert joins Deborah Treisman to read and discuss “Pet Milk,” by Stuart Dybek, from a 1984 issue of the magazine.|2018-08-01|Kate Walbert|Stuart Dybek|Q6375842|Q7626494
ottessa-moshfegh-reads-sheila-heti|https://www.newyorker.com/podcast/fiction/ottessa-moshfegh-reads-sheila-heti|Ottessa Moshfegh Reads Sheila Heti|Ottessa Moshfegh joins Deborah Treisman to read and discuss “My Life Is a Joke,” by Sheila Heti, from a 2015 issue of the magazine.|2018-07-02|Ottessa Moshfegh|Sheila Heti|Q20707944|Q7493065
a-m-homes-reads-margaret-atwood|https://www.newyorker.com/podcast/fiction/a-m-homes-reads-margaret-atwood|A. M. Homes Reads Margaret Atwood|A. M. Homes joins Deborah Treisman to read and discuss “Stone Mattress,” by Margaret Atwood, from a 2011 issue of the magazine.|2018-06-01|A. M. Homes|Margaret Atwood|Q278953|Q183492
hari-kunzru-reads-robert-coover|https://www.newyorker.com/podcast/fiction/hari-kunzru-reads-robert-coover|Hari Kunzru Reads Robert Coover|Hari Kunzru joins Deborah Treisman to read and discuss “The Colonel’s Daughter,” by Robert Coover, from a 2013 issue of the magazine.|2018-05-01|Hari Kunzru|Robert Coover|Q1367133|Q1282338
mohsin-hamid-reads-jorge-luis-borges|https://www.newyorker.com/podcast/fiction/mohsin-hamid-reads-jorge-luis-borges|Mohsin Hamid Reads Jorge Luis Borges|Mohsin Hamid joins Deborah Treisman to read and discuss “The Book of Sand,” by Jorge Luis Borges, from a 1976 issue of the magazine.|2018-04-02|Mohsin Hamid|Jorge Luis Borges|Q3243146|Q909
lorrie-moore-reads-antonya-nelson|https://www.newyorker.com/podcast/fiction/lorrie-moore-reads-antonya-nelson|Lorrie Moore Reads Antonya Nelson|Lorrie Moore joins Deborah Treisman to read and discuss “Naked Ladies,” by Antonya Nelson, from a 1992 issue of the magazine.|2018-03-02|Lorrie Moore|Antonya Nelson|Q204168|Q4777267
colin-barrett-reads-joy-williams|https://www.newyorker.com/podcast/fiction/colin-barrett-reads-joy-williams|Colin Barrett Reads Joy Williams|Colin Barrett joins Deborah Treisman to read and discuss “Stuff,” by Joy Williams, from a 2016 issue of the magazine.|2018-02-02|Colin Barrett|Joy Williams|Q55828256|Q6297286
david-sedaris-reads-wells-tower|https://www.newyorker.com/podcast/fiction/david-sedaris-reads-wells-tower|David Sedaris Reads Wells Tower|David Sedaris joins Deborah Treisman to read and discuss “Leopard,” by Wells Tower, from a 2008 issue of the magazine.|2018-01-02|David Sedaris|Wells Tower|Q1176577|Q2081662
