wid|person|personLabel|photo|genderLabel|citizenshipLabel|sitelink|lccn|description|birth|pPrize
Q528826|http://www.wikidata.org/entity/Q528826|William Trevor||male|Ireland|https://en.wikipedia.org/wiki/William_Trevor|n50011670|Irish writer|1928-05-24T00:00:00Z|false
Q545781|http://www.wikidata.org/entity/Q545781|Mary Gaitskill|http://commons.wikimedia.org/wiki/Special:FilePath/Mary%20Gaitskill%20BBF%202010%20Shankbone.jpg|female|United States of America|https://en.wikipedia.org/wiki/Mary_Gaitskill|n87910204|Novelist, short story writer, essayist|1954-11-11T00:00:00Z|false
Q609317|http://www.wikidata.org/entity/Q609317|Karl Ove Knausgård|http://commons.wikimedia.org/wiki/Special:FilePath/Karl%20Ove%20Knausg%C3%A5rd%2001.JPG|male|Norway|https://en.wikipedia.org/wiki/Karl_Ove_Knausg%C3%A5rd|n99018704|Norwegian author|1968-12-06T00:00:00Z|false
Q466431|http://www.wikidata.org/entity/Q466431|Nicole Krauss|http://commons.wikimedia.org/wiki/Special:FilePath/Krauss%2C%20Nicole.jpg|female|United States of America|https://en.wikipedia.org/wiki/Nicole_Krauss|n2001034919|American novelist|1974-08-18T00:00:00Z|false
Q541890|http://www.wikidata.org/entity/Q541890|Maile Meloy||female|United States of America|https://en.wikipedia.org/wiki/Maile_Meloy|n2001045237|American writer|1972-01-01T00:00:00Z|false
Q638179|http://www.wikidata.org/entity/Q638179|Richard Powers|http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20Powers%20%28author%29.jpg|male|United States of America|https://en.wikipedia.org/wiki/Richard_Powers|n85007982|novelist|1957-06-18T00:00:00Z|false
Q589497|http://www.wikidata.org/entity/Q589497|Dave Eggers|http://commons.wikimedia.org/wiki/Special:FilePath/Dave%20Eggers%20%2811483%29.jpg|male|United States of America|https://en.wikipedia.org/wiki/Dave_Eggers|n96104532|American writer, editor, and publisher|1970-03-12T00:00:00Z|false
Q495754|http://www.wikidata.org/entity/Q495754|Tobias Wolff|http://commons.wikimedia.org/wiki/Special:FilePath/TobiasWolff.jpg|male|United States of America|https://en.wikipedia.org/wiki/Tobias_Wolff|n81010525|Fiction writer, memoirist|1945-06-19T00:00:00Z|false
Q402664|http://www.wikidata.org/entity/Q402664|Junot Díaz|http://commons.wikimedia.org/wiki/Special:FilePath/Junot%20D%C3%ADaz%20%28cropped%29.jpg|male|Dominican Republic|https://en.wikipedia.org/wiki/Junot_D%C3%ADaz|n96034971|Dominican-American writer|1968-12-31T00:00:00Z|false
Q336151|http://www.wikidata.org/entity/Q336151|John Cheever|http://commons.wikimedia.org/wiki/Special:FilePath/Johncheever.jpg|male|United States of America|https://en.wikipedia.org/wiki/John_Cheever|n78089819|American novelist and short story writer|1912-05-27T00:00:00Z|false
